mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type
416,165,,100269 165,1,1,165 100269,1,1,uturn,,,none
417,165,,101902 165,1,1,165 101902,1,1,uturn,,,none
418,166,,101935 166,1,1,166 101935,1,1,uturn,,,none
419,167,,101962 167,1,1,167 101962,1,1,uturn,,,none
420,168,,100270 168,1,1,168 100270,1,1,uturn,,,none
421,169,,100106 169,1,1,169 100106,1,1,uturn,,,none
422,169,,100223 169,1,1,169 100223,1,1,uturn,,,none
423,170,,100085 170,1,1,170 100085,1,1,uturn,,,none
424,170,,100224 170,1,1,170 100224,1,1,uturn,,,none
425,171,,100221 171,1,1,171 100221,1,1,uturn,,,none
426,172,,100105 172,1,1,172 100105,1,1,uturn,,,none
427,172,,100142 172,1,1,172 100142,1,1,uturn,,,none
428,173,,100104 173,1,1,173 100104,1,1,uturn,,,none
429,174,,100135 174,1,1,174 100135,1,1,uturn,,,none
430,174,,100241 174,1,1,174 100241,1,1,uturn,,,none
431,175,,101846 175,1,1,175 101846,1,1,uturn,,,none
432,175,,101854 175,1,1,175 101854,1,1,uturn,,,none
433,176,,100271 176,1,1,176 100271,1,1,uturn,,,none
434,176,,100272 176,1,1,176 100272,1,1,uturn,,,none
435,177,,100271 177,1,1,177 100271,1,1,uturn,,,none
436,177,,101778 177,1,1,177 101778,1,1,uturn,,,none
437,177,,101911 177,1,1,177 101911,1,1,uturn,,,none
