geometry_id,geometry
410,"LINESTRING(1519010 1014699,1519502.945 1012901.639)"
411,"LINESTRING(1529243 1011435,1528086.894 1010461.225)"
412,"LINESTRING(1528933 1008375,1529088.586 1006999.35)"
413,"LINESTRING(1532737 1009819,1533366 1009972)"
414,"LINESTRING(1530044 1000237,1529205.521 1001076.858)"
415,"LINESTRING(1530044 1000237,1529632 999800)"
416,"LINESTRING(1529329 998892,1529792.09 998449)"
417,"LINESTRING(1529329 998892,1529632 999029)"
418,"LINESTRING(1528411 999650,1528549 999937)"
419,"LINESTRING(1538304 1000591,1536106.94 1003764.878)"
420,"LINESTRING(1538304 1000591,1537079.796 998626.313)"
421,"LINESTRING(1533576 1001964,1530986.15 1002725.86)"
422,"LINESTRING(1536019 997951,1537079.796 998249.875)"
423,"LINESTRING(1536019 997951,1535495.441 998261.125)"
424,"LINESTRING(1520519 1001353,1520460.36 1001068.936)"
425,"LINESTRING(1520519 1001353,1520512.343 1001564.571)"
426,"LINESTRING(1519003 1001374,1519005.655 1001586.072)"
427,"LINESTRING(1519003 1001374,1518954.894 1001068.609)"
428,"LINESTRING(1519014 1001865,1519005.655 1001586.072)"
429,"LINESTRING(1519014 1001865,1518726.714 1002102.129)"
430,"LINESTRING(1519014 1001865,1519283.438 1002102.451)"
431,"LINESTRING(1521680 1001824,1521706.886 1001542.033)"
432,"LINESTRING(1521680 1001824,1521712.52 1002026.611)"
433,"LINESTRING(1521680 1001824,1522132.618 1001790.076)"
434,"LINESTRING(1521680 1001824,1521304 1001763)"
435,"LINESTRING(1521696 1001328,1521706.886 1001542.033)"
436,"LINESTRING(1521696 1001328,1521706.886 1001057.454)"
437,"LINESTRING(1521696 1001328,1521294.444 1001332.331)"
438,"LINESTRING(1521696 1001328,1522113.801 1001310.251)"
439,"LINESTRING(1522597 1001270,1522603.035 1001517.234)"
440,"LINESTRING(1522597 1001270,1522607.739 1000999.776)"
441,"LINESTRING(1522597 1001270,1522399.946 1001299.744)"
442,"LINESTRING(1522597 1001270,1522842.948 1001305.547)"
443,"LINESTRING(1521839 1003756,1521449 1003813)"
444,"LINESTRING(1521839 1003756,1522446.254 1003630.603)"
445,"LINESTRING(1521839 1003756,1522165.366 1003630.344)"
446,"LINESTRING(1522673 1003270,1522640.668 1002989.639)"
447,"LINESTRING(1522673 1003270,1522866 1003247)"
448,"LINESTRING(1522673 1003270,1522440.7 1003268.771)"
449,"LINESTRING(1519004 1004492,1518592.491 1005202.69)"
450,"LINESTRING(1519004 1004492,1519048.85 1005336.913)"
451,"LINESTRING(1519004 1004492,1519746.812 1003954.412)"
