name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
,103826,259,,,-84.34168218,40.845052,
,103827,282,,,-84.3350044,40.83494111,
,103828,265,,,-84.33328736,40.84716408,
,103829,265,,,-84.32964978,40.85361429,
,103830,0,,,-84.3397953,40.85929801,
,103831,286,,,-84.32093743,40.83977714,
,103832,287,,,-84.32323039,40.84665511,
,103833,303,,,-84.09584377,40.81998182,
,103834,291,,,-84.2872525,40.84365725,
,103835,288,,,-84.29541841,40.85960716,
,103836,288,,,-84.29018049,40.84442523,
,103837,288,,,-84.30310544,40.84698618,
,103838,285,,,-84.30108051,40.83374324,
,103839,288,,,-84.30771743,40.84732016,
,103840,288,,,-84.30380245,40.84361919,
,103841,288,,,-84.29852549,40.83955223,
,103842,288,,,-84.29054652,40.83778926,
,103843,288,,,-84.30801343,40.84721016,
,103844,286,,,-84.30475445,40.84409319,
,103845,289,,,-84.2960745,40.83825824,
,103846,288,,,-84.29037952,40.83751426,
,103847,288,,,-84.30557344,40.84695217,
,103848,287,,,-84.30953443,40.84692416,
,103849,285,,,-84.30849148,40.83418221,
,103850,302,,,-84.08541746,40.83195244,
,103851,258,,,-84.34162496,40.8437251,
,103852,321,,,-83.97610487,40.85265236,
,103853,287,,,-84.30816143,40.84694016,
,103854,288,,,-84.30696143,40.84693817,
,103855,288,,,-84.2890375,40.84411624,
,103856,288,,,-84.29099251,40.83931725,
,103857,291,,,-84.28183754,40.83931628,
,103858,0,,,-84.26113674,40.6858939,
,103859,210,,,-84.25153079,40.68708399,
,103860,210,,,-84.25168092,40.71109191,
,103861,209,,,-84.23239977,40.69128494,
,103862,211,,,-84.23264588,40.71276983,
,103863,209,,,-84.24193878,40.689244,
,103864,212,,,-84.2422599,40.71119495,
,103865,0,,,-84.24188976,40.68592891,
,103866,0,,,-84.25713676,40.68591396,
,103867,257,,,-84.34159724,40.84269281,
,103868,260,,,-84.34104057,40.84607827,
,103869,259,,,-84.34097148,40.84430896,
,103870,211,,,-84.242327,40.72931882,
,103871,228,,,-84.2426601,40.75117177,
,103872,212,,,-84.25194201,40.72925481,
,103873,213,,,-84.2569441,40.75094073,
,103874,293,,,-84.26269468,40.82359542,
,103875,293,,,-84.2531517,40.82534244,
,103876,293,,,-84.25320663,40.83679039,
,103877,293,,,-84.22909765,40.82384046,
,103878,293,,,-84.2292396,40.83376442,
,103879,294,,,-84.21463561,40.82365746,
,103880,294,,,-84.20869557,40.82647945,
,103881,294,,,-84.20520752,40.83472442,
,103882,297,,,-84.16655041,40.83125043,
,103883,293,,,-84.24366965,40.83094943,
,103884,295,,,-84.21956855,40.8370884,
,103885,295,,,-84.2052055,40.8383744,
,103886,293,,,-84.24339174,40.81649549,
,103887,295,,,-84.2246815,40.84899035,
,103888,295,,,-84.20805743,40.85249534,
,103889,294,,,-84.18176946,40.83113643,
,103890,294,,,-84.20499557,40.82504846,
,103891,294,,,-84.20121253,40.83100343,
,103892,295,,,-84.22072356,40.83611341,
,103893,294,,,-84.20523652,40.83496042,
,103894,294,,,-84.22098456,40.83587041,
,103895,236,,,-84.26141372,40.81636645,
,103896,236,,,-84.24336178,40.80928152,
,103897,239,,,-84.25756685,40.79473955,
,103898,258,,,-84.34094112,40.84317836,
,103899,229,,,-84.24286098,40.77305367,
,103900,239,,,-84.24724289,40.79244459,
,103901,235,,,-84.24313088,40.7908246,
,103902,230,,,-84.2573769,40.78722958,
,103903,229,,,-84.2430779,40.78740561,
,103904,237,,,-84.2433418,40.80448554,
,103905,238,,,-84.26223081,40.79958451,
,103906,238,,,-84.25759885,40.79600254,
,103907,239,,,-84.2430769,40.78827061,
,103908,237,,,-84.26259473,40.81325846,
,103909,0,,,-84.35166734,40.84710985,
