name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1
STEWART RD,5205,104013,104012,arterial,1,0.348106061,1,1800,35,1,,1800,0.25,3,1,1,100
LINCOLN HWY,5206,104013,104021,arterial,1,0.323295455,1,1491,47,1,,1491,0.25,3,1,1,100
LINCOLN HWY,5207,104013,104023,arterial,1,1.008143939,1,1676,54,1,,1676,0.25,3,1,1,100
MAYBERRY RD,5208,104014,103994,arterial,1,0.442424242,1,1560,28,1,,1560,0.25,3,1,1,100
MAYBERRY RD,5209,104014,104006,arterial,1,0.06780303,1,1618,37,1,,1618,0.25,3,1,1,100
0,5210,104015,305,hot,1,1.326515152,1,1800,25,99,,1800,0.15,4,1,1,100
SR-65,5211,104015,104083,highway,1,0.516477273,1,1618,53,1,,1618,0.15,4,1,1,100
SR-65,5212,104015,104084,highway,1,0.018939394,1,1734,53,1,,1734,0.15,4,1,1,100
0,5213,104016,338,hot,1,0.203219697,1,1800,25,99,,1800,0.15,4,1,1,100
MAIN ST,5214,104016,104342,arterial,1,0.144507576,1,1421,36,1,,1421,0.25,3,1,1,100
MAIN ST,5215,104016,104376,arterial,1,0.13030303,1,1421,36,1,,1421,0.25,3,1,1,100
SR-65,5216,104017,104019,highway,1,0.522537879,1,1618,53,1,,1618,0.15,4,1,1,100
SR-65,5217,104017,104083,highway,1,0.499431818,1,1618,53,1,,1618,0.15,4,1,1,100
0,5218,104018,338,hot,1,0.351136364,1,1800,25,99,,1800,0.15,4,1,1,100
COLLEGE,5219,104018,100756,arterial,1,0.126136364,1,1548,27,1,,1548,0.25,3,1,1,100
COLLEGE,5220,104018,100757,arterial,1,0.359090909,1,1421,27,1,,1421,0.25,3,1,1,100
SR-65,5221,104019,104017,highway,1,0.522537879,1,1618,53,1,,1618,0.15,4,1,1,100
SR-65,5222,104019,104025,highway,1,0.518939394,1,1481,53,1,,1481,0.15,4,1,1,100
LINCOLN HWY,5223,104020,103850,arterial,1,0.275189394,2,2982,29,1,,2982,0.25,3,1,1,100
PERRYSBURG ST,5224,104020,104029,highway,1,0.083712121,1,1734,35,1,,1734,0.15,4,1,1,100
PERRYSBURG ST,5225,104020,104030,highway,1,0.079734848,1,1734,35,1,,1734,0.15,4,1,1,100
LINCOLN HWY,5226,104020,104060,arterial,1,0.076136364,2,3468,29,1,,3468,0.25,3,1,1,100
0,5227,104021,304,hot,1,0.926893939,1,1800,25,99,,1800,0.15,4,1,1,100
LINCOLN HWY,5228,104021,103850,arterial,1,0.428598485,2,3600,29,1,,3600,0.25,3,1,1,100
LINCOLN HWY,5229,104021,104013,arterial,1,0.323295455,1,1560,45,1,,1560,0.25,3,1,1,100
SLABTOWN RD,5230,104022,104023,arterial,1,0.315530303,1,1676,47,1,,1676,0.25,3,1,1,100
SLABTOWN RD,5231,104022,104072,arterial,1,0.1875,1,1734,48,1,,1734,0.25,3,1,1,100
LINCOLN HWY,5232,104023,103546,arterial,1,0.921969697,1,1676,49,1,,1676,0.25,3,1,1,100
LINCOLN HWY,5233,104023,104013,arterial,1,1.008143939,1,1676,54,1,,1676,0.25,3,1,1,100
SLABTOWN RD,5234,104023,104022,arterial,1,0.315530303,1,1676,47,1,,1676,0.25,3,1,1,100
SLABTOWN RD,5235,104023,104075,arterial,1,0.995833333,1,1560,46,1,,1560,0.25,3,1,1,100
0,5236,104024,305,hot,1,1.222916667,1,1800,25,99,,1800,0.15,4,1,1,100
HILLVILLE RD,5237,104024,104025,arterial,1,0.661742424,1,1618,37,1,,1618,0.25,3,1,1,100
SR-65,5238,104025,104010,highway,1,1.070643939,1,1618,53,1,,1618,0.15,4,1,1,100
